2024-06-11 09:32:06,034 - Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA
2024-06-11 09:32:06,035 - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
2024-06-11 09:32:10,774 - -----Starting Log-----
2024-06-11 09:34:35,876 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:34:37,904 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:34:39,928 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:34:41,956 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.7%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:34:43,986 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:34:46,017 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:34:48,050 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:34:50,080 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:34:52,111 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:34:54,140 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:34:56,170 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:34:58,199 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:35:00,229 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:35:02,259 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:35:04,289 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:35:06,320 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:35:08,350 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 88.0%
2024-06-11 09:35:10,379 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.8%, Memory Usage: 19.7%, GPU Usage: 88.0%
2024-06-11 09:35:12,407 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:35:14,431 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:35:16,460 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:35:18,487 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.7%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:35:20,516 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:35:22,545 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:35:24,576 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:35:26,606 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:35:28,637 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:35:30,668 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:35:32,698 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:35:34,725 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.7%, Memory Usage: 19.7%, GPU Usage: 88.0%
2024-06-11 09:35:36,756 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:35:38,783 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.8%, GPU Usage: 90.0%
2024-06-11 09:35:40,812 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.8%, GPU Usage: 89.0%
2024-06-11 09:35:42,839 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.8%, GPU Usage: 89.0%
2024-06-11 09:35:44,869 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 19.9%, GPU Usage: 89.0%
2024-06-11 09:35:46,896 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 19.9%, GPU Usage: 90.0%
2024-06-11 09:35:48,925 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.9%, GPU Usage: 89.0%
2024-06-11 09:35:50,953 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.8%, GPU Usage: 89.0%
2024-06-11 09:35:52,979 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.8%, GPU Usage: 89.0%
2024-06-11 09:35:55,007 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.8%, GPU Usage: 90.0%
2024-06-11 09:35:57,037 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 19.8%, GPU Usage: 89.0%
2024-06-11 09:35:59,064 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.8%, GPU Usage: 89.0%
2024-06-11 09:36:01,092 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.8%, GPU Usage: 90.0%
2024-06-11 09:36:03,121 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.8%, GPU Usage: 89.0%
2024-06-11 09:36:05,152 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:36:07,180 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:36:09,265 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 88.0%
2024-06-11 09:36:11,290 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:36:13,320 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:36:15,348 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.8%, GPU Usage: 90.0%
2024-06-11 09:36:17,376 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:36:19,404 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 89.0%
2024-06-11 09:36:21,431 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.8%, GPU Usage: 89.0%
2024-06-11 09:36:23,459 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.8%, GPU Usage: 89.0%
2024-06-11 09:36:25,487 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.8%, GPU Usage: 90.0%
2024-06-11 09:36:27,512 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.8%, GPU Usage: 90.0%
2024-06-11 09:36:29,540 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.8%, Memory Usage: 19.9%, GPU Usage: 90.0%
2024-06-11 09:36:31,570 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.9%, GPU Usage: 89.0%
2024-06-11 09:36:33,600 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.9%, GPU Usage: 89.0%
2024-06-11 09:36:35,630 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.9%, GPU Usage: 89.0%
2024-06-11 09:36:37,658 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.9%, GPU Usage: 90.0%
2024-06-11 09:36:39,689 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.9%, GPU Usage: 90.0%
2024-06-11 09:36:41,720 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 19.9%, GPU Usage: 89.0%
