2024-06-13 00:26:32,195 - -----Starting Log-----
2024-06-13 00:29:07,470 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.1%, Memory Usage: 24.8%, GPU Usage: 0.0%
2024-06-13 00:29:07,471 - Média uso de CPU: 3.114285714285714%, Média uso de Memória: 24.65324675324675%, Média uso de GPU: 87.02597402597402%
2024-06-13 00:29:07,471 - -----Finishing Log, Elapsed Time: 154.573694 seconds-----
2024-06-13 00:29:08,906 - -----Starting Log-----
2024-06-13 00:29:09,928 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 7.4%, Memory Usage: 24.9%, GPU Usage: 0.0%
2024-06-13 00:29:11,957 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 25.0%, GPU Usage: 90.0%
2024-06-13 00:29:13,986 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.5%, Memory Usage: 25.0%, GPU Usage: 89.0%
2024-06-13 00:29:16,014 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.9%, Memory Usage: 24.9%, GPU Usage: 88.0%
2024-06-13 00:29:18,046 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.4%, Memory Usage: 25.0%, GPU Usage: 89.0%
2024-06-13 00:29:20,073 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 4.1%, Memory Usage: 25.0%, GPU Usage: 88.0%
2024-06-13 00:29:22,102 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.9%, Memory Usage: 24.8%, GPU Usage: 87.0%
2024-06-13 00:29:24,129 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.4%, Memory Usage: 24.9%, GPU Usage: 90.0%
2024-06-13 00:29:26,157 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 6.2%, Memory Usage: 24.6%, GPU Usage: 88.0%
2024-06-13 00:29:28,187 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 6.7%, Memory Usage: 24.6%, GPU Usage: 89.0%
2024-06-13 00:29:30,214 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.9%, Memory Usage: 24.6%, GPU Usage: 88.0%
2024-06-13 00:29:32,242 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 7.0%, Memory Usage: 24.7%, GPU Usage: 89.0%
2024-06-13 00:29:34,270 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.9%, Memory Usage: 24.6%, GPU Usage: 88.0%
2024-06-13 00:29:36,299 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.3%, Memory Usage: 24.8%, GPU Usage: 88.0%
2024-06-13 00:29:38,326 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.9%, Memory Usage: 24.9%, GPU Usage: 88.0%
2024-06-13 00:29:40,354 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.2%, Memory Usage: 24.9%, GPU Usage: 89.0%
2024-06-13 00:29:42,386 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.4%, Memory Usage: 24.9%, GPU Usage: 88.0%
2024-06-13 00:29:44,414 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.5%, Memory Usage: 25.0%, GPU Usage: 88.0%
2024-06-13 00:29:46,442 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.7%, Memory Usage: 25.1%, GPU Usage: 89.0%
2024-06-13 00:29:48,469 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.6%, Memory Usage: 24.9%, GPU Usage: 88.0%
2024-06-13 00:29:50,500 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.5%, Memory Usage: 24.9%, GPU Usage: 88.0%
2024-06-13 00:29:52,530 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.7%, Memory Usage: 24.9%, GPU Usage: 87.0%
2024-06-13 00:29:54,558 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.6%, Memory Usage: 24.9%, GPU Usage: 89.0%
2024-06-13 00:29:56,588 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.8%, Memory Usage: 24.9%, GPU Usage: 88.0%
2024-06-13 00:29:58,617 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.1%, Memory Usage: 25.0%, GPU Usage: 90.0%
2024-06-13 00:30:00,645 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.6%, Memory Usage: 25.0%, GPU Usage: 89.0%
2024-06-13 00:30:02,673 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.3%, Memory Usage: 25.0%, GPU Usage: 86.0%
2024-06-13 00:30:04,704 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 4.5%, Memory Usage: 25.0%, GPU Usage: 88.0%
2024-06-13 00:30:06,733 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 6.2%, Memory Usage: 25.0%, GPU Usage: 88.0%
2024-06-13 00:30:08,759 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 5.1%, Memory Usage: 25.1%, GPU Usage: 88.0%
